time,fCnt,spreading_factor,rssi,snr,crc_status,latitude,longitude,temperature,device_address,anomaly,time_difference,frame_counter_diff,rssi_mean5,snr_mean5,crc_error,cluster,rule_timedif_cluster,time_diff_device,rule_time,time_thresh_device,sf_shift,rule_crc,rule_rssi,rule_snr,rule_fcnt,rule_orphan,rule_sf_change,rule_flag
2025-01-29 16:00:11.579177+00:00,438,9,-107,3.5,1,47.34654342212024,11.86426877975464,,00e1aee7,0,-161.053569,0.0,-107.0,3.5,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:02:54.760379+00:00,337,12,-117,-2.5,1,47.34654342212024,11.86426877975464,,012d0082,0,163.181202,0.0,-117.0,-2.5,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:58:18.874915+00:00,45,12,-109,3.5,1,47.34654342212024,11.86426877975464,,0167f2fd,0,-275.885464,0.0,-109.0,3.5,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:02:08.178360+00:00,2990,12,-115,-6.75,1,47.34654342212024,11.86426877975464,,008b8c5e,0,229.303445,0.0,-115.0,-6.75,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:01:09.054820+00:00,238,12,-109,,1,47.34654342212024,11.86426877975464,,0038c30f,0,-59.12354,0.0,-109.0,,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:56:51.684907+00:00,148,12,-103,3.75,1,47.35015258384244,11.872792840003969,,00a99a2c,0,-257.369913,0.0,-103.0,3.75,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:57:04.008543+00:00,297,10,-100,6.25,1,47.34654342212024,11.86426877975464,,0097aaed,0,12.323636,0.0,-100.0,6.25,False,0,False,0.0,False,389.5156260450004,,False,False,False,False,False,True,True
2025-01-29 15:56:50.922235+00:00,46,12,-117,-14.5,1,47.34654342212024,11.86426877975464,,006194ed,0,-404.559299,0.0,-117.0,-14.5,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:58:40.664216+00:00,31,12,-113,-7.25,1,47.34664519441214,11.709601879119875,,01e4eefc,0,109.741981,0.0,-113.0,-7.25,False,0,False,0.0,False,0.0,,False,False,False,False,True,True,True
2025-01-29 16:01:16.849613+00:00,1364,12,-113,-4.75,1,47.34664519441214,11.709601879119875,,00447e14,0,156.185397,0.0,-113.0,-4.75,False,0,False,0.0,False,299.648925126,,False,False,False,False,False,True,True
2025-01-29 15:59:03.260147+00:00,20483,7,-106,-6.0,1,47.27036,11.42637,22.2,003d97b6,0,-433.53834,0.0,-106.0,-6.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:57:42.514474+00:00,661,12,-115,-11.5,1,47.34664519441214,11.709601879119875,,0189492a,0,-80.745673,0.0,-115.0,-11.5,False,0,False,0.0,False,0.0,,False,False,False,False,True,True,True
2025-01-29 15:58:56.379045+00:00,80064,12,-71,-12.0,1,47.20887,11.46159,9.5,0199cd18,0,73.864571,0.0,-71.0,-12.0,False,0,False,0.0,False,299.08718655600006,,False,False,False,False,False,True,True
2025-01-29 15:58:11.209000+00:00,31,9,-115,-14.0,1,47.22108,11.40812,,01cadc79,0,-345.157193,0.0,-115.0,-14.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
