time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-05-01T00:00:05.120306Z,2600236f,QG8jACaAuzkFWvGynNCHRoFx4BLF,0000024b0b031c97,1,867100000,7,125,4/5,-99,8,-1,010,14779,5
2020-05-01T00:00:06.068913Z,2000000d,QA0AACCAqZoKtEPG3dQZNep4sv0FaRc6XSQ=,0000024b0b031c97,1,868500000,7,125,4/5,-102,-5.5,-1,010,39593,10
2020-05-01T00:00:07.916706Z,270002c5,QMUCACeA6TYPelOLFaxQItL06p0u,0000024b0b031c97,1,867300000,8,125,4/5,-105,-0.2,-1,010,14057,15
2020-05-01T00:00:08.978138Z,2700025a,QFoCACeA4TYP9gB6ns5/D+dgSffV,0000024b0b031c97,1,867700000,8,125,4/5,-108,-9,-1,010,14049,15
2020-05-01T00:00:13.353072Z,26012682,QIImASYAIdQBrHxruFnX6iYp+g==,0000024b0b031c97,1,867700000,7,125,4/5,-79,10.8,-1,010,54305,1
2020-05-01T00:00:15.941902Z,27007dc7,gMd9ACcAAgACCHA2PrjAzNSBhVUE,0000024b0b031c97,1,867900000,8,125,4/5,-112,-7,-1,100,2,2
2020-05-01T00:00:15.978398Z,0152e706,QAbnUgGAAiMFrnjJKtjA9T91MgNM5ucExMVrlsrGSqTjPHQ=,0000024b0b031c97,1,867500000,9,125,4/5,-97,-7,-1,010,8962,5
2020-05-01T00:00:18.173245Z,26012dc5,QMUtASYABx4BynMokLsYXgSdNdV6TYgUbvBKluFOkVbCqVDAxW+Dk1PU2HtV7S3i5vdcOGeJmWCHGFIlve4=,0000024b0b031c97,1,867700000,12,125,4/5,-108,-12,-1,010,7687,1
2020-05-01T00:00:20.910924Z,26012803,QAMoASaAED59cAHrP4gk8uN776Iz,0000024b0b031c97,1,867700000,12,125,4/5,-106,-12.8,-1,010,15888,125
2020-05-01T00:00:22.708997Z,26012786,QIYnASaAwwAFEqBICG1xNW+9CLRvW5b2HERHUF8=,0000024b0b031c97,1,868100000,12,125,4/5,-104,-2,-1,010,195,5
2020-05-01T00:00:28.125947Z,2700829c,gJyCACeAGwEoH1iqLC5KWdeYxg1nhu7sXLtEpK4aY4+dwUgYKjFwFg==,0000024b0b031c97,1,867300000,8,125,4/5,-109,-7.5,-1,100,283,40
2020-05-01T00:00:29.838585Z,270002a1,QKECACcAx1oFeZvuwM7agSN+B24e7m8B/B+selub4Q==,0000024b0b031c97,1,867900000,8,125,4/5,-101,-2,-1,010,23239,5
2020-05-01T00:00:34.339200Z,20000034,QDQAACCAb5wKrmug/9GXKFO047sx0fSTj6Y=,0000024b0b031c97,1,868100000,7,125,4/5,-103,-2.8,-1,010,40047,10
2020-05-01T00:00:35.497790Z,26012682,QIImASYAItQBjQZHbe9TPJlD7A==,0000024b0b031c97,1,868500000,7,125,4/5,-78,7.2,-1,010,54306,1
2020-05-01T00:00:38.767207Z,a869205d,gF0gaaiAJxsFxWpi7PvbgXnk6pWY,0000024b0b031c97,1,867700000,12,125,4/5,-106,-19,-1,100,6951,5
2020-05-01T00:00:38.861414Z,26011b56,QFYbASaARAABTk3pbc8dcLc=,0000024b0b031c97,1,867300000,7,125,4/5,-107,-1,-1,010,68,1
2020-05-01T00:00:39.613854Z,2000000c,QAwAACCAqpoKrtOb2Uet2yYWCz6tfghWmFk=,0000024b0b031c97,1,868500000,7,125,4/5,-107,-4.5,-1,010,39594,10
2020-05-01T00:00:46.649955Z,48dd00ae,QK4A3UiAxX0F9YzNiiCvu6kJQQ5DuY7N/MCV1eA=,0000024b0b031c97,1,868300000,12,125,4/5,-101,-5.5,-1,010,32197,5
2020-05-01T00:00:48.526084Z,270002f0,gPACACcAOSkFR2PBIM59jc0d11z8pIRbA/dtNA==,0000024b0b031c97,1,867900000,8,125,4/5,-101,-4.5,-1,100,10553,5
2020-05-01T00:00:53.641090Z,26012f47,QEcvASaAwgMC8qenLKl3RbWemzbs0MdDVFiPLDPWcG7WVQ==,0000024b0b031c97,1,867900000,7,125,4/5,-100,6,-1,010,962,2
2020-05-01T00:00:53.773105Z,041021a9,QKkhEASAejABABD6aXL8EVCvDIo4eRkn8Oyibcfx6w5Rv/CNKwSeUJHlFZMrGYDGELDcNj7gUCl8,0000024b0b031c97,1,868500000,7,125,4/5,-107,-3.8,-1,010,12410,1
2020-05-01T00:00:57.642479Z,26012682,QIImASYAI9QBXoHgbEIzm/6ZqA==,0000024b0b031c97,1,867900000,7,125,4/5,-77,8.8,-1,010,54307,1
2020-05-01T00:01:05.158293Z,013e0708,QAgHPgGACMgF74DfOqRe1/MYhlBK7qu2+qRa1SI=,0000024b0b031c97,1,867300000,10,125,4/5,-108,-8.5,-1,010,51208,5
2020-05-01T00:01:06.639867Z,20000005,QAUAACCAqZoKP4ovw09Bz6SavlfHLZCYYLU=,0000024b0b031c97,1,868100000,7,125,4/5,-109,2.2,-1,010,39593,10
2020-05-01T00:01:11.212145Z,26012367,QGcjASYAdDECyCdY0h0H4FTwqQ==,0000024b0b031c97,1,868100000,7,125,4/5,-77,10,-1,010,12660,2
2020-05-01T00:01:12.828523Z,-1,hFKUT7MWrf4=,0000024b0b031c97,1,868500000,8,125,4/6,-93,2.2,-1,100,-1,-1
2020-05-01T00:01:15.928842Z,00996b8b,QItrmQCAc5UFz9cWX1CYv5gUHk2I/H6Y4Fh/qo/tNqnCE7g=,0000024b0b031c97,1,867100000,9,125,4/5,-107,-7.8,-1,010,38259,5
2020-05-01T00:01:15.989546Z,26012572,QHIlASaA3f0FcIbUXbhxHLnompc86H6D6Ze2oM4=,0000024b0b031c97,1,868300000,12,125,4/5,-97,9.8,-1,010,64989,5
2020-05-01T00:01:16.416521Z,26002d88,QIgtACaAuTkF9u5xBvhj4TOZjbsL,0000024b0b031c97,1,867100000,7,125,4/5,-89,8,-1,010,14777,5
2020-05-01T00:01:16.465153Z,260027aa,QKonACaAuDkFczLDFbH8iVztuXJk,0000024b0b031c97,1,867300000,7,125,4/5,-101,3.8,-1,010,14776,5
2020-05-01T00:01:16.662393Z,20000005,QAUAACCApJoKlEhLGbVuKP903t9IiH7Ob2zBEbk=,0000024b0b031c97,1,868300000,7,125,4/5,-109,-4,-1,010,39588,10
2020-05-01T00:01:18.717721Z,004c0eb4,QLQOTACBPAACBcIbRhEoxr1xJ9Hasxs4en/f5zNX,0000024b0b031c97,1,867300000,9,125,4/5,-109,-2.5,-1,010,60,5
2020-05-01T00:01:18.965552Z,26002b82,QIIrACaAuTkF1uR/2AsgaLloMKby,0000024b0b031c97,1,867100000,7,125,4/5,-106,-5.8,-1,010,14777,5
2020-05-01T00:01:19.787120Z,26012682,QIImASYAJNQBrcLATMnFE6ACIA==,0000024b0b031c97,1,868100000,7,125,4/5,-77,9.2,-1,010,54308,1
2020-05-01T00:01:22.207480Z,270002fc,QPwCACcAx1oFgsNdOgN+lXmpFSfqrRMK9NHEDfv0pw==,0000024b0b031c97,1,868100000,8,125,4/5,-103,-3.8,-1,010,23239,5
2020-05-01T00:01:23.595110Z,270082a4,QKSCACeArAABcVy4r24j20/KjBZVOMLMOtAoG2HncRPxnmPk,0000024b0b031c97,1,867900000,11,125,4/5,-101,7,-1,010,172,1
2020-05-01T00:01:25.608119Z,27007d1c,QBx9ACcAAgACO/ziz/oVgXblU7Vf3gi+4mcUdIaU,0000024b0b031c97,1,867300000,8,125,4/5,-99,-4.8,-1,010,2,2
2020-05-01T00:01:27.869862Z,26012b50,QFArASaApggFIH83Aoy7kzkpYfloO0faTsRm4INZ,0000024b0b031c97,1,868100000,12,125,4/5,-94,-2.8,-1,010,2214,5
2020-05-01T00:01:28.886235Z,-1,AGNjbm9icmFjiBkE/v9YF6gO5KhbKuM=,0000024b0b031c97,1,868500000,7,125,4/5,-99,1.8,-1,000,-1,-1
