time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-07-31T00:00:04.034677Z,48dd00ae,QK4A3UiA9rAFit0rn7Twc6e/QHwcaCBuKCvhyrY=,0000024b0b031c97,1,868300000,12,125,4/5,-100,3,-1,010,45302,5
2020-07-31T00:00:06.894508Z,260126e2,QOImASaAGegFEpBrEceULxLD+vyXx88nRftWJEo=,0000024b0b031c97,1,868300000,12,125,4/5,-101,-3.5,-1,010,59417,5
2020-07-31T00:00:07.306171Z,20000007,QAcAACCA3hwK5BZGSYKoMDGHye4SHUQElfE=,0000024b0b031c97,1,868100000,7,125,4/5,-102,-7.5,-1,010,7390,10
2020-07-31T00:00:09.457530Z,26012786,QIYnASaA9DMF2KPANjoX6k5SvIvaBMq+opgAkUM=,0000024b0b031c97,1,868100000,12,125,4/5,-99,-6.8,-1,010,13300,5
2020-07-31T00:00:09.899578Z,-1,FOAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=,0000024b0b031c97,1,868300000,8,125,4/5,-105,-7.5,-1,000,-1,-1
2020-07-31T00:00:42.906753Z,27000251,gFECACcAHGYFWyzlGsBST7Xv,0000024b0b031c97,1,867300000,8,125,4/5,-106,-8.5,-1,100,26140,5
2020-07-31T00:00:44.693825Z,20000006,QAYAACCA3hwKQfCBfl/eFBqHRyHTfE/I0i0=,0000024b0b031c97,1,868300000,7,125,4/5,-102,-5.8,-1,010,7390,10
2020-07-31T00:00:53.915141Z,20000012,QBIAACCACgEKfrLl8kQI4e8Vjd4wk5QDgDY=,0000024b0b031c97,1,868500000,7,125,4/5,-106,-5.8,-1,010,266,10
2020-07-31T00:00:55.167311Z,270002f0,gPACACcAalwF5cPkSKQJ52qLHMX8zz2tsZVOMQ==,0000024b0b031c97,1,867300000,8,125,4/5,-108,-10.5,-1,100,23658,5
2020-07-31T00:01:00.655134Z,260127d3,QNMnASYAXkQFyrPdRK2WFUW37Sb3qUpBaKW7zW7htFRgIuRh1g==,0000024b0b031c97,1,868300000,12,125,4/5,-106,-4.5,-1,010,17502,5
2020-07-31T00:01:02.398277Z,004c0eb4,QLQOTACACQAFtmELHyIHDZQvxVudkQFbg1gynYE=,0000024b0b031c97,1,868300000,9,125,4/5,-102,0,-1,010,9,5
2020-07-31T00:01:06.311891Z,26012367,QGcjASYA+pYCfY8jEJ8QCnC3lg==,0000024b0b031c97,1,868500000,7,125,4/5,-71,6.8,-1,010,38650,2
2020-07-31T00:01:22.601752Z,26012803,QAMoASaA8j19vqdd3Rx9zgTY8Jh7,0000024b0b031c97,1,867900000,12,125,4/5,-100,-13.2,-1,010,15858,125
2020-07-31T00:01:24.388767Z,-1,U+Gr/j/+g2c=,0000024b0b031c97,1,868500000,8,125,4/6,-100,6,-1,010,-1,-1
2020-07-31T00:01:25.850911Z,2601268b,QIsmASYA5wMFHibea/rkYJIRx/ucJIA/YpR6cCXyWg4pIBus9tQ=,0000024b0b031c97,1,867100000,12,125,4/5,-96,-10.8,-1,010,999,5
2020-07-31T00:01:26.265287Z,26012bfd,QP0rASaAsKEFuLZ5v6MHtb2gMdPR,0000024b0b031c97,1,867700000,7,125,4/5,-101,4.8,-1,010,41392,5
2020-07-31T00:01:29.302086Z,2601236d,QG0jASaAv+wFclQeqZgWBwZPJiLS48eiKE76aTs=,0000024b0b031c97,1,868300000,12,125,4/5,-92,3,-1,010,60607,5
2020-07-31T00:01:34.274011Z,26012a2a,QCoqASaAVwEC1Kn5MiNzkU9EjDn+fVgmTHvYYxo0mnZQWA==,0000024b0b031c97,1,867900000,7,125,4/5,-99,-9,-1,010,343,2
2020-07-31T00:01:37.109995Z,26012572,QHIlASaADjEFvKJQmGVRekxPMx0uroUuaMpnHAQ=,0000024b0b031c97,1,868100000,12,125,4/5,-90,7,-1,010,12558,5
2020-07-31T00:01:38.748722Z,270002a1,QKECACcA+I0Fv4vJKY47OSeqawzbuRZJvWPspvwllA==,0000024b0b031c97,1,867900000,8,125,4/5,-107,-7.2,-1,010,36344,5
2020-07-31T00:01:43.550921Z,20000005,QAUAACCACwEKev3DKv7be0zMUAIkDoJuROA=,0000024b0b031c97,1,868500000,7,125,4/5,-108,-4.5,-1,010,267,10
2020-07-31T00:02:06.564836Z,27000228,QCgCACcAjisF++Kj3U+ubRMEaMJCqVYH26GVI/avzxVKucQY8g8liEKJpc/IXYtxAonc3G4kSAea94Ym1Ehs8Q==,0000024b0b031c97,1,867100000,8,125,4/5,-93,-6.5,-1,010,11150,5
2020-07-31T00:02:07.838636Z,2601282d,QC0oASaA9DMFBS+USb8va6UJ94wWYrHmofRd2yw=,0000024b0b031c97,1,868300000,12,125,4/5,-94,-9.5,-1,010,13300,5
2020-07-31T00:02:12.322978Z,26012382,QIIjASaAresFMLfqJmJ1fgR6I7Gq8/NCEIVgVl4=,0000024b0b031c97,1,867300000,12,125,4/5,-99,7.5,-1,010,60333,5
2020-07-31T00:02:12.531896Z,048058e9,QOlYgATAXQMBYYOffCMajm4ICP6tddp7boPd8EE44v1GPEtypnal3w==,0000024b0b031c97,1,868100000,7,125,4/5,-106,4.5,-1,010,861,1
2020-07-31T00:02:23.423670Z,04a045e8,QOhFoASAgwEBhjoNm/y5E97oo5CuURoMN/r2KrWtbVQY,0000024b0b031c97,1,868100000,7,125,4/5,-95,7,-1,010,387,1
2020-07-31T00:02:26.653564Z,04a04392,QJJDoASAZgABbojewGXl97r9cuJ1WpZDYqpBbV66IQX7,0000024b0b031c97,1,868300000,7,125,4/5,-94,6.2,-1,010,102,1
2020-07-31T00:02:36.237964Z,499e76ed,QO12nkmA6c8FwGtnyK+hwrBstFPwIsb9DIWiBfU=,0000024b0b031c97,1,868100000,12,125,4/5,-113,-7.2,-1,010,53225,5
2020-07-31T00:02:51.726111Z,04a04613,QBNGoASALgMB6D/CHzdTN+AoxhzrXjqgSVJr9kPPluPe,0000024b0b031c97,1,868500000,7,125,4/5,-97,6,-1,010,814,1
2020-07-31T00:00:13.597568Z,-1,,7276ff002e062804,-1,868100000,7,125,4/5,-104,-10.8,-1,-1,-1,-1
2020-07-31T00:00:14.569896Z,-1,,7276ff002e062804,-1,868100000,7,125,4/5,-106,-8.5,-1,-1,-1,-1
2020-07-31T00:00:14.843673Z,26011284,gIQSASYASg4Cw9bm4y0bCNuQBZ+OA11sQ1Md2SLyeNVN,7276ff002e062804,1,868100000,7,125,4/5,-86,1,-1,100,3658,2
2020-07-31T00:00:17.207258Z,-1,,7276ff002e062804,-1,867300000,12,125,4/5,-89,-21.8,-1,-1,-1,-1
2020-07-31T00:00:22.361163Z,-1,,7276ff002e062804,-1,867100000,7,125,4/5,-101,-11,-1,-1,-1,-1
2020-07-31T00:00:41.751456Z,260125c0,QMAlASYAQwMFuQYH8zq4yyNrNcfTwBEB4dsEUWhIDLU3mMufJWM=,7276ff002e062804,1,867500000,12,125,4/5,-90,-11,-1,010,835,5
2020-07-31T00:00:48.657156Z,-1,,7276ff002e062804,-1,868100000,12,125,4/5,-102,-14.2,-1,-1,-1,-1
2020-07-31T00:00:59.655146Z,260127d3,QNMnASYAXkQFyrPdRK2WFUW37Sb3qUpBaKW7zW7htFRgIuRh1g==,7276ff002e062804,1,868300000,12,125,4/5,-100,-14.5,-1,010,17502,5
2020-07-31T00:01:15.134467Z,26011284,gIQSASYASw4CkVc/4deAJYSY631ab+3SxECQ7vE5x8Ku,7276ff002e062804,1,868100000,7,125,4/5,-89,8,-1,100,3659,2
2020-07-31T00:01:19.119004Z,-1,,7276ff002e062804,-1,867500000,7,125,???,-116,-11.2,-1,-1,-1,-1
2020-07-31T00:01:24.850904Z,2601268b,QIsmASYA5wMFHibea/rkYJIRx/ucJIA/YpR6cCXyWg4pIBus9tQ=,7276ff002e062804,1,867100000,12,125,4/5,-96,-14,-1,010,999,5
2020-07-31T00:01:36.308927Z,-1,,7276ff002e062804,-1,868300000,12,125,4/5,-92,-9.8,-1,-1,-1,-1
2020-07-31T00:01:37.758663Z,-1,,7276ff002e062804,-1,868300000,12,125,4/5,-101,-20,-1,-1,-1,-1
2020-07-31T00:01:40.449745Z,fe8245a0,QKBFgv6AZBABbwjHk5I+jzbW6shfpG3OKkMHe/lbDsSCeQgZ116SoBFmRw==,7276ff002e062804,1,868100000,12,125,4/5,-95,-24,-1,010,4196,1
2020-07-31T00:01:40.924873Z,260124d3,QNMkASYAzQQF9hENmd8x+3amtb29Tx3sneWkPhbtPDZlRC0ONV8=,7276ff002e062804,1,867900000,12,125,4/5,-92,-14,-1,010,1229,5
2020-07-31T00:02:15.423253Z,26011284,gIQSASYATA4CP0uJwIwRM/Zdc+1ZKQ/CDvbaWwkKrKUi,7276ff002e062804,1,868100000,7,125,4/5,-88,11,-1,100,3660,2
2020-07-31T00:02:32.268175Z,26012ecd,QM0uASYAFQEFzalX8HLaIlwMsSColgxX4Ury61h2RsP5sSDFjoE=,7276ff002e062804,1,868500000,12,125,4/5,-100,-9,-1,010,277,5
2020-07-31T00:03:06.569956Z,00956527,QCdllQCAHwAFzWQ+TJ9BwVaGWuy2du90Q7Y=,0000024b0b031c97,1,868300000,9,125,4/5,-107,-6.2,-1,010,31,5
2020-07-31T00:03:06.802099Z,20000030,QDAAACCA0QIKARIz1xyyXS8HNntRFD29HVk=,0000024b0b031c97,1,868500000,7,125,4/5,-113,-6.5,-1,010,721,10
2020-07-31T00:03:21.257496Z,27007dd8,QNh9ACcABQACRCXPr4XhyeV2as1Z9haLdF9lP48H,0000024b0b031c97,1,868500000,8,125,4/5,-107,3,-1,010,5,2
