time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-05-29T00:00:02.859490Z,26012803,QAMoASaAkNt9ts4mPhmHR4XppQVf,0000024b0b031c97,1,867700000,12,125,4/5,-100,-15.2,-1,010,56208,125
2020-05-29T00:00:02.901153Z,26012bfd,QP0rASaAuFkF7kIBnIFn3XffeWBj,0000024b0b031c97,1,867300000,7,125,4/5,-97,6,-1,010,22968,5
2020-05-29T00:00:15.435358Z,000702bc,QLwCBwCAy9cFhdzS89gAoVvHgLh3aNrEm20=,0000024b0b031c97,1,867100000,10,125,4/5,-106,-11.2,-1,010,55243,5
2020-05-29T00:00:16.106532Z,20000006,QAYAACCAJboK2jLpWFcBRNoXWWAz/+i40XE=,0000024b0b031c97,1,868100000,7,125,4/5,-101,-6.5,-1,010,47653,10
2020-05-29T00:00:16.436757Z,20000085,QIUAACCA1FsKIg3N1zFfivDSMIhqbSsGJm0=,0000024b0b031c97,1,868500000,7,125,4/5,-109,-9,-1,010,23508,10
2020-05-29T00:00:17.109501Z,26012dc5,QMUtASYAYyMBdKMvak6fwyE6BP8ckMEK/Jl8oCiXMueG+3OK8nRQ/V91dTc5CPEHYuX2RyjPuc5XdAbkg4A=,0000024b0b031c97,1,867100000,12,125,4/5,-101,-14.5,-1,010,9059,1
2020-05-29T00:00:19.335028Z,26012682,QIImASYA334B9PAnfqvYg/wTSg==,0000024b0b031c97,1,868300000,7,125,4/5,-79,8,-1,010,32479,1
2020-05-29T00:00:21.097930Z,270002e8,QOgCACeAdQ4PWmmsTihO0/fXoixcmE4Jr0zaRNGlErQFpf7fiEoy,0000024b0b031c97,1,868500000,8,125,4/5,-107,-1.8,-1,010,3701,15
2020-05-29T00:00:28.020801Z,20000012,QBIAACCAKboKwCKvxOygDtxBXSq33aji2AA=,0000024b0b031c97,1,868500000,7,125,4/5,-107,-9,-1,010,47657,10
2020-05-29T00:00:31.429336Z,26011b56,QFYbASaARAABTk3pbc8dcLc=,0000024b0b031c97,1,867300000,7,125,4/5,-106,-7.5,-1,010,68,1
2020-05-29T00:00:41.479627Z,26012682,QIImASYA4H4BWiMLT3w0dt+8cw==,0000024b0b031c97,1,867100000,7,125,4/5,-81,10.5,-1,010,32480,1
2020-05-29T00:00:44.294661Z,0001e473,QHPkAQCApQIFpepc2BZAGzjik+72,0000024b0b031c97,1,867300000,9,125,4/5,-105,-10,-1,010,677,5
2020-05-29T00:00:44.893229Z,27008208,QAiCACeArAABS0IXQLvcETnN8HsQCO6G9Xnx85XoZ6iOlDgi,0000024b0b031c97,1,867500000,11,125,4/5,-97,5.5,-1,010,172,1
2020-05-29T00:00:52.625721Z,26012e97,QJcuASaCnAMDBwKD9oV7uhqoC0D4HT122yGSE8fAqQXozoeU,0000024b0b031c97,1,867300000,7,125,4/5,-95,8,-1,010,924,2
2020-05-29T00:01:01.408622Z,20000006,QAYAACCA+LoKkHjwWNIXY8ELCTNJlP7Gg9Mledg=,0000024b0b031c97,1,868500000,7,125,4/5,-105,-3.8,-1,010,47864,10
2020-05-29T00:01:03.624197Z,26012682,QIImASYA4X4BQ5Q9gBZUlgNVOg==,0000024b0b031c97,1,867900000,7,125,4/5,-81,10,-1,010,32481,1
2020-05-29T00:01:08.558340Z,20000017,QBcAACCAKboKwsTjQttuEV76zxEQWuevFZA=,0000024b0b031c97,1,868100000,7,125,4/5,-112,-5.2,-1,010,47657,10
2020-05-29T00:01:08.888637Z,00bdc0c8,QMjAvQCABQAFJgAZQQX+fq2Lqrbf4AaFWa1+E68=,0000024b0b031c97,1,867100000,12,125,4/5,-88,-3,-1,010,5,5
2020-05-29T00:01:16.312985Z,27007d37,QDd9ACcABQAC2+RFY82x/MdE9QtZP1JJk9IWdnD/,0000024b0b031c97,1,868500000,8,125,4/5,-102,-2.8,-1,010,5,2
2020-05-29T00:01:16.648545Z,017279e8,QOh5cgGCQ0QDAwWntiZl22MGykZ1TYZ8F26Q2z1aEw==,0000024b0b031c97,1,868500000,10,125,4/5,-104,-8.8,-1,010,17475,5
2020-05-29T00:01:18.530946Z,0004b0b2,QLKwBAAAJEIFT7ZxKv7gVJ47M+KaaCltNG0wguk=,0000024b0b031c97,1,867700000,12,125,4/5,-98,-15,-1,010,16932,5
2020-05-29T00:01:25.473662Z,27007d5e,QF59ACcABAACAYLdEEFGzGO13W5pb+/uIk2ccyzJ,0000024b0b031c97,1,867700000,8,125,4/5,-107,-10.5,-1,010,4,2
2020-05-29T00:01:25.768661Z,26012682,QIImASYA4n4BG6ElXquhkHAhIw==,0000024b0b031c97,1,867300000,7,125,4/5,-79,10.5,-1,010,32482,1
