time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-07-01T00:00:04.951692Z,004c0eb4,QLQOTACADwAFRJ4cV8s5/JyqLshBzw7RtzfCewg=,0000024b0b031c97,1,868500000,9,125,4/5,-105,-8.5,-1,010,15,5
2020-07-01T00:00:12.948135Z,26012682,QIImASYA0HUBo96bM/AbXnsflQ==,0000024b0b031c97,1,868300000,7,125,4/5,-77,6.2,-1,010,30160,1
2020-07-01T00:00:15.743767Z,2601241c,QBwkASaAEyMF/fqy0kL6naPcVZ51iXAcKAZOuxU=,0000024b0b031c97,1,868500000,12,125,4/5,-105,-8.2,-1,010,8979,5
2020-07-01T00:00:17.844312Z,26012dc5,QMUtASYAtCkBvpAXwkDJXnyJun7zuBb2BuJyjlhL0+JN5L5vh6hF8o0xFoOVjVgpFj1SuVcIilGEkcRmkEs=,0000024b0b031c97,1,867100000,12,125,4/5,-107,-13.8,-1,010,10676,1
2020-07-01T00:00:22.122975Z,2601297c,QHwpASaAltoFi5AzcpZv/C7TkDRDsS7c1QN4eJc=,0000024b0b031c97,1,868100000,12,125,4/5,-81,7.2,-1,010,55958,5
2020-07-01T00:00:26.657517Z,270002b3,QLMCACcATFoFeyQzbzfk0XZPEd0rsrldSkSIe5ODxQ==,0000024b0b031c97,1,867500000,8,125,4/5,-99,-11.5,-1,010,23116,5
2020-07-01T00:00:35.092897Z,26012682,QIImASYA0XUBX8b89AcFkID8uQ==,0000024b0b031c97,1,868100000,7,125,4/5,-81,9.5,-1,010,30161,1
2020-07-01T00:00:37.762322Z,26012e98,QJguASaAEyMFn/CD/tHCvtRWK3ICBH2PYOheTBo=,0000024b0b031c97,1,868100000,12,125,4/5,-109,-10.2,-1,010,8979,5
2020-07-01T00:00:39.801920Z,26012c77,QHcsASaAJ9sFiLL3Ldq5fXw1nfhZCkg7jLeWwH0=,0000024b0b031c97,1,867300000,12,125,4/5,-103,-1,-1,010,56103,5
2020-07-01T00:00:44.298272Z,00477606,QAZ2RwCAW+oFYngGa9gTUS7dDhW8RMoOEqA=,0000024b0b031c97,1,867100000,10,125,4/5,-106,-14.5,-1,010,59995,5
2020-07-01T00:00:44.322800Z,2601221e,QB4iASaArwEC+E3MzHLkwyz3bplD1bff2DJ1Q795vt98Fg==,0000024b0b031c97,1,867700000,7,125,4/5,-106,-3.8,-1,010,431,2
2020-07-01T00:00:46.712231Z,27007de3,QON9ACcABQACcxJ1yNPqioDCROfBvloNzPa6Zucl,0000024b0b031c97,1,868500000,8,125,4/5,-111,-8.5,-1,010,5,2
2020-07-01T00:00:57.237884Z,26012682,QIImASYA0nUB6GzK7Jn1PWuxUw==,0000024b0b031c97,1,867700000,7,125,4/5,-78,8.8,-1,010,30162,1
2020-07-01T00:00:58.635876Z,26012cbd,QL0sASaA2HkFv4v7SxHWTXFihBib8//H,0000024b0b031c97,1,868100000,12,125,4/5,-105,-7.5,-1,010,31192,5
2020-07-01T00:01:00.216515Z,00dd79fb,QPt53QCACAsFOeJeAd+Y6tsSN/w3ZiNcI0rnDA==,0000024b0b031c97,1,867100000,12,125,4/5,-102,-18,-1,010,2824,5
2020-07-01T00:01:02.806329Z,2601263c,QDwmASYAkgUFqsA/RCOHiaMwbCEoQ+5mEEfhGc/Syi5ct4SOA/0=,0000024b0b031c97,1,867100000,12,125,4/5,-98,-12.5,-1,010,1426,5
2020-07-01T00:01:02.897449Z,26012013,QBMgASaAFCMFNxkIWda79Y/PgvoFmb70VY1r5j8=,0000024b0b031c97,1,868100000,12,125,4/5,-102,-8.5,-1,010,8980,5
2020-07-01T00:01:03.398353Z,20000000,QAAAACCAGeAKB6wZHQ/CedaSraYLkuW9Qao=,0000024b0b031c97,1,868100000,7,125,4/5,-99,-9.2,-1,010,57369,10
2020-07-01T00:01:09.585079Z,27007d4b,gEt9ACcA0xQCcwDsI6vgzl9tz5PlxKU508xZl45rGQWv1hmazSf5luLFJ9uicotruuMkxnJPpVFsIpf47lnaLgrevPAnBNW+JAfzYwgCBicBBVSIp97h7HlWud3OG223plxJgV8e4HXy84DKTObCLdYcsgywrGna4/DHQPXkNAyOgKAfl1tThjAyRUlvJkgK5ueUmNcaaQJmyTkYPwMePFs/D9rtZf9cnjC1uYkkyX/8VeBI7lGhM7c9ozw3Rlm9/+GAXjgOZCJc+qUnHs1gHSFhIVqsWBJ3NNf6Cl+AihdGyTY9I8A178n2te545ZLB8/tDg9bQ/6QBqUGAtb8D,0000024b0b031c97,1,867300000,8,125,4/5,-101,-10.5,-1,100,5331,2
2020-07-01T00:01:11.614176Z,020022dd,QN0iAAKA5hxn4f2OFjrqhVFFaCI7,0000024b0b031c97,1,868500000,12,125,4/5,-109,-11.8,-1,010,7398,103
2020-07-01T00:01:18.713149Z,20000034,QDQAACCAEOEKbOBf3cv3yiOWlbcfYAqb0UAB5ro=,0000024b0b031c97,1,868500000,7,125,4/5,-100,-4,-1,010,57616,10
2020-07-01T00:01:19.127293Z,2600236f,QG8jACaAan8FInbMdPlcaJc1b+yJ,0000024b0b031c97,1,868100000,7,125,4/5,-102,-1.2,-1,010,32618,5
2020-07-01T00:01:19.382940Z,26012682,QIImASYA03UB0D7jbglw5NKuzA==,0000024b0b031c97,1,867900000,7,125,4/5,-78,9.5,-1,010,30163,1
2020-07-01T00:01:21.200973Z,26012a47,QEcqASaAM98FQUcqGGyRhc/MwOKSm308TDRgDWk=,0000024b0b031c97,1,868300000,12,125,4/5,-88,-7,-1,010,57139,5
2020-07-01T00:01:30.399330Z,27007d43,gEN9ACcAAAACK6KBPNrhBKIRVES17vw2VzLH3VmW,0000024b0b031c97,1,867700000,8,125,4/5,-111,-10.2,-1,100,0,2
2020-07-01T00:01:35.936433Z,27007df9,gPl9ACcAAAACvDg5ipNaY3uivXf8FTzBtExdxbmT,0000024b0b031c97,1,868100000,8,125,4/5,-104,-6.2,-1,100,0,2
2020-07-01T00:01:36.513847Z,26012a85,QIUqASaAt9oFsqURd/Qseo9/JD1Ee/ec0lQxQKw=,0000024b0b031c97,1,867100000,12,125,4/5,-86,8,-1,010,55991,5
2020-07-01T00:01:41.527975Z,26012682,QIImASYA1HUBkKNgOrXGsMFbNg==,0000024b0b031c97,1,867500000,7,125,4/5,-78,6,-1,010,30164,1
2020-07-01T00:01:43.046772Z,0067bbcd,QM27ZwCAkRwFPQHzBJobUg1TTYS591yiwVK+Fyw=,0000024b0b031c97,1,867900000,9,125,4/5,-107,-9,-1,010,7313,5
2020-07-01T00:01:44.314334Z,27007df9,gPl9ACcAAQACFjKM7vLsoiFam0M=,0000024b0b031c97,1,867100000,8,125,4/5,-107,-6.2,-1,100,1,2
2020-07-01T00:01:44.323277Z,2601221e,QB4iASaAsAECpBjZ5nA5/VNeUuzNpRsNiaU+GFAHwYSYOw==,0000024b0b031c97,1,868500000,7,125,4/5,-107,-0.5,-1,010,432,2
2020-07-01T00:01:46.435924Z,26012c1d,QB0sASaAFCMFEyzi+e+EvWGCWNswOPFNhg6t5SM=,0000024b0b031c97,1,868100000,12,125,4/5,-105,0.2,-1,010,8980,5
2020-07-01T00:01:47.316956Z,26012367,QGcjASYAgnUC4Xn+476ATew4Ig==,0000024b0b031c97,1,867300000,7,125,4/5,-75,10.5,-1,010,30082,2
2020-07-01T00:01:52.137116Z,27007d8f,QI99ACcAAwACYaY62iCngjkTMyq/wNdwSeCzIgS0,0000024b0b031c97,1,867500000,8,125,4/5,-97,-1.8,-1,010,3,2
2020-07-01T00:01:53.108651Z,04a045a7,QKdFoASAFAUBqC566r+FC9z2j6rH9WEhVU86wxP2k3VI,0000024b0b031c97,1,868100000,7,125,4/5,-113,-2,-1,010,1300,1
2020-07-01T00:01:55.155699Z,27007d69,QGl9ACcABgACVt7iJDhl8osw2OA6cEyc1gMFUFU3,0000024b0b031c97,1,867300000,8,125,4/5,-103,-7.8,-1,010,6,2
