time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-04-26T00:00:11.946720Z,26012bc2,QMIrASaA8LYF98oFw8gUPnN0HyzLdkH1rKwvtIE=,0000024b0b031c97,1,868300000,7,125,4/5,-95,-0.2,-1,010,46832,5
2020-04-26T00:00:13.589529Z,26012de0,QOAtASaA8nEBCh78L1UMYz80MyEAnBcWmC+uzO7sIUw4jwc0YUq1nq8izqD5VOCaLyUlj26phdby3kLl,0000024b0b031c97,1,868500000,7,125,4/5,-102,-7.8,-1,010,29170,1
2020-04-26T00:00:15.643968Z,26012682,QIImASYA7YcBvbPl09x4cIheZA==,0000024b0b031c97,1,868100000,7,125,4/5,-77,9.5,-1,010,34797,1
2020-04-26T00:00:17.725158Z,20000000,QAAAACCA2JUKEEV3i8vs5WYi5FQawksumu+/C2A=,0000024b0b031c97,1,868100000,7,125,4/5,-100,-4,-1,010,38360,10
2020-04-26T00:00:23.184917Z,2600236f,QG8jACaABTQFPm1PyCvfAAqRdYL2,0000024b0b031c97,1,867300000,7,125,4/5,-99,4.8,-1,010,13317,5
2020-04-26T00:00:26.820260Z,27007dc9,QMl9ACcAAwACPcBxMJysPLOKkt/gEg4Fh8L2nK8M,0000024b0b031c97,1,868500000,8,125,4/5,-105,1.8,-1,010,3,2
2020-04-26T00:00:37.788783Z,26012682,QIImASYA7ocBnbnF7fYg/AVTvw==,0000024b0b031c97,1,868300000,7,125,4/5,-77,8.8,-1,010,34798,1
2020-04-26T00:00:40.236335Z,0152e706,QAbnUgGAIiEFbfliolLAyMPZ3xfL5hpPj3ymDX4xJrx0NsM=,0000024b0b031c97,1,867500000,9,125,4/5,-90,-4.5,-1,010,8482,5
2020-04-26T00:00:43.705222Z,27007d26,gCZ9ACcAAAACtg392M1CQqW10inugDM4pXsWwVvN,0000024b0b031c97,1,867100000,8,125,4/5,-109,-11,-1,100,0,2
2020-04-26T00:00:44.368455Z,270082fd,gP2CACeA7QAotxIV+K0OWL0Xvlq3Ky3dBaxRyg==,0000024b0b031c97,1,867700000,9,125,4/5,-104,-10,-1,100,237,40
2020-04-26T00:00:45.610551Z,270002dd,QN0CACcA91cFPN1fuHr0rrWhxwV+xyu2jz36rhrxFA==,0000024b0b031c97,1,867300000,8,125,4/5,-106,-10,-1,010,22519,5
2020-04-26T00:00:48.179581Z,0410214b,QEshEASATggB9oAy1YuJJn4l3/MUVsR9TtlLArfUzUQi3ZRGE+ImL7J7DVB4bVHg9zpQHJjQOk99,0000024b0b031c97,1,868500000,7,125,4/5,-87,0,-1,010,2126,1
2020-04-26T00:00:50.834901Z,27000238,QDgCACcA91cFlvpYv4dG8BhhIMOaHeKp8kQi4JeVHg==,0000024b0b031c97,1,867100000,8,125,4/5,-109,-2.2,-1,010,22519,5
2020-04-26T00:00:56.318283Z,26012786,QIYnASaA8/0FHaz9pRxQiCK3i4Ii4sccAzilKZY=,0000024b0b031c97,1,868500000,12,125,4/5,-87,-5,-1,010,65011,5
2020-04-26T00:00:57.494560Z,2601253c,QDwlASaA0QMC0SZ+T1JmiH9UC5/tE56tcCjExb9yahi/IQ==,0000024b0b031c97,1,867300000,7,125,4/5,-97,8,-1,010,977,2
2020-04-26T00:00:59.118554Z,270002a1,QKECACcA91cFdFZXhEjwJA6Jks/Bh4suGubFrv5ytw==,0000024b0b031c97,1,867900000,8,125,4/5,-102,-3.2,-1,010,22519,5
2020-04-26T00:00:59.933418Z,26012682,QIImASYA74cBZ9TMY1XQ8qx0Bw==,0000024b0b031c97,1,867500000,7,125,4/5,-76,7,-1,010,34799,1
2020-04-26T00:01:02.263409Z,270002a3,QKMCACcA91cFiBsDe69MZAPLmhUb/5Qksce7v34QNA==,0000024b0b031c97,1,867300000,8,125,4/5,-108,-1.5,-1,010,22519,5
2020-04-26T00:01:11.938382Z,270002d6,QNYCACcA91cFxC+xvHOsxxLTY9zja076PxLTm5xbJg==,0000024b0b031c97,1,867300000,8,125,4/5,-106,0,-1,010,22519,5
2020-04-26T00:01:13.153250Z,20000111,QBEBACCAszYKNaSS/uYLEJs5Fdg=,0000024b0b031c97,1,868100000,7,125,4/5,-109,-4.5,-1,010,14003,10
2020-04-26T00:01:14.037244Z,26012faa,QKovASYAZ0cB3JyCcvJqaXc9tWVsysUGPD30W64a5lARNNwKelNY//VL1yyvhXA0Xk+tG+Pb3NrcENakHtE=,0000024b0b031c97,1,867300000,12,125,4/5,-105,-13,-1,010,18279,1
2020-04-26T00:01:16.378923Z,0410214b,QEshEASATwgBeyEfcQoeIcWw1ulxCrmOyC7mjh9NPc4n5VBVMW1t2Vsaxf50jV64cSPwRmz8gVOX,0000024b0b031c97,1,868300000,7,125,4/5,-94,4,-1,010,2127,1
2020-04-26T00:01:20.426961Z,270002f0,gPACACcAaSYFPw7hqqiUeml9j277pArDTVy+6A==,0000024b0b031c97,1,867700000,8,125,4/5,-102,0,-1,100,9833,5
2020-04-26T00:01:20.660Z,0410214b,QEshEASATwgBeyEfcQoeIcWw1ulxCrmOyC7mjh9NPc4n5VBVMW1t2Vsaxf50jV64cSPwRmz8gVOX,0000024b0b031c97,1,868300000,7,125,4/5,-96,7,-1,010,2127,1
2020-04-26T00:01:21.573274Z,48dd00ae,QK4A3UiA9XoFQXHM0nduTER+D1x86IGS45PrmRI=,0000024b0b031c97,1,868100000,12,125,4/5,-92,-2.8,-1,010,31477,5
2020-04-26T00:01:22.078257Z,26012682,QIImASYA8IcBdwuIIbeVOflmlQ==,0000024b0b031c97,1,867700000,7,125,4/5,-76,9.8,-1,010,34800,1
2020-04-26T00:01:24.341953Z,27008243,QEOCACeAbAQB28PxRE0fN/rTMg4dq49GRNrKj9njbmR3m6o1,0000024b0b031c97,1,868100000,11,125,4/5,-95,9.2,-1,010,1132,1
