time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-09-01T00:00:01.017295Z,26012cd1,QNEsASaACJ8FWgHCjl4iQDrC0B+9PxgcEQuUPzSQ,0000024b0b031c97,1,867300000,7,125,4/5,-106,2,-1,010,40712,5
2020-09-01T00:00:03.806314Z,26012382,QIIjASaArf0F3NaZSp0Q8ezrvymMHU2WHEnV7GU=,0000024b0b031c97,1,867500000,12,125,4/5,-99,3.8,-1,010,64941,5
2020-09-01T00:00:16.293734Z,27007d06,gAZ9ACcAAAACVpAe+XdGO11AcCaa1dfNhjdPAMAk,0000024b0b031c97,1,867700000,8,125,4/5,-97,-7,-1,100,0,2
2020-09-01T00:00:24.658514Z,27007d06,gAZ9ACcAAQACjif0oMVA8v23VSA=,0000024b0b031c97,1,868500000,8,125,4/5,-108,-6.8,-1,100,1,2
2020-09-01T00:00:27.461146Z,26012298,QJgiASaAFQMCViErvwcInXp36DnVvFsPkGF4GWgeYoIRLA==,0000024b0b031c97,1,867300000,7,125,4/5,-108,-5.8,-1,010,789,2
2020-09-01T00:00:31.739728Z,27000398,QJgDACeArwcCj4wrbdC3U9xn7x/GEl9/,0000024b0b031c97,1,868300000,12,125,4/5,-105,-13,-1,010,1967,2
2020-09-01T00:00:43.054421Z,2000008c,QIwAACCAtcYKaKwWOETEjPLPiow=,0000024b0b031c97,1,868500000,7,125,4/5,-109,-6.8,-1,010,50869,10
2020-09-01T00:00:54.935571Z,26012c9a,QJosASYAlxoBsA/wnPi0yKCedsb9VGo703fVi1UnQrEPWL4xDUlaIyGCiMQYycSAU0dHQ9xPd1aaXm1W1s0wz4mCoSa9ZTWkr7nb8WnIjqSCB/mIl3Jd,0000024b0b031c97,1,867900000,9,125,4/5,-106,-7.5,-1,010,6807,1
2020-09-01T00:00:55.224944Z,04102158,QFghEASAvEMBrG2p+zaqWQNIFG/gTAL4IhMq/VkzdsqNSxi1d+EroQQdDorQyI+pThYYvE1pOGhg,0000024b0b031c97,1,868500000,7,125,4/5,-104,-5.2,-1,010,17340,1
2020-09-01T00:01:09.814109Z,27007d77,QHd9ACcAAgACjsL7QsrrViWL1BWY65vHBjKVuaW7,0000024b0b031c97,1,867300000,8,125,4/5,-95,10,-1,010,2,2
2020-09-01T00:01:10.105964Z,0099859f,QJ+FmQCAOQ0FSHoDLoqJIclGnjoEqjpY4qHFd28=,0000024b0b031c97,1,867700000,10,125,4/5,-105,-6.5,-1,010,3385,5
2020-09-01T00:01:10.476854Z,27007d5a,gFp9ACcAAAACNzuR8dAZoiFWDq52XWyp00htuz+y,0000024b0b031c97,1,868300000,8,125,4/5,-101,-7.5,-1,100,0,2
2020-09-01T00:01:10.504414Z,27007db3,QLN9ACcAAwACd+cxTQucU1Y4jBULcDqqX8gmDU4o,0000024b0b031c97,1,868500000,8,125,4/5,-93,-5,-1,010,3,2
2020-09-01T00:01:18.840284Z,27007d5a,gFp9ACcAAQACfEMWEuljMzEY6QE=,0000024b0b031c97,1,867500000,8,125,4/5,-100,-11,-1,100,1,2
2020-09-01T00:01:20.171323Z,26012de0,QOAtASaA4QEKbD2+zRiDGK9blnlVPBoYaQ==,0000024b0b031c97,1,868500000,12,125,4/5,-108,-7.2,-1,010,481,10
2020-09-01T00:01:29.083393Z,26012bc2,QMIrASaAUf8F0eIJcWkQC+respdVx/7qFkv3Snc=,0000024b0b031c97,1,868300000,12,125,4/5,-99,5.2,-1,010,65361,5
2020-09-01T00:01:32.350749Z,04a04a21,QCFKoASA2x0BhVszs+9cgc+l9ccSJ9LJFJkpqJR+A/ug,0000024b0b031c97,1,868100000,7,125,4/5,-107,4,-1,010,7643,1
2020-09-01T00:01:33.693479Z,26012615,QBUmASYAsgMFICYF6H3WqNzsiMHY5Fbr4YRWD5e6hqLBgO77Wis=,0000024b0b031c97,1,867900000,12,125,4/5,-111,-12,-1,010,946,5
2020-09-01T00:01:38.168396Z,2000000e,QA4AACCACyUKrWW0kGmFekSOMtoNOcFGAa8=,0000024b0b031c97,1,868300000,7,125,4/5,-109,-0.2,-1,010,9483,10
2020-09-01T00:01:41.065836Z,04a04a44,QERKoASArQgB0JvhrK3VLH6U39y3mW/u+26X0tybYB7pWKIj,0000024b0b031c97,1,868300000,7,125,4/5,-103,-4.8,-1,010,2221,1
2020-09-01T00:01:41.447037Z,260128bd,QL0oASYABQAFRjOb+vKK2TsqExZDF3GaMUyJ/tsApDoXIcwxaSY=,0000024b0b031c97,1,867100000,12,125,4/5,-97,-10.2,-1,010,5,5
