time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-05-04T00:00:01.640882Z,0152e706,QAbnUgGAIiQF+WxJZJNqAR7/7ZFsPBq+XuRbJP+/OWgOJps=,0000024b0b031c97,1,867700000,9,125,4/5,-105,1.5,-1,010,9250,5
2020-05-04T00:00:05.886730Z,2700029f,QJ8CACeAYAAP/ofe5zlkNK1FZFzd,0000024b0b031c97,1,867100000,8,125,4/5,-105,-7.8,-1,010,96,15
2020-05-04T00:00:09.039665Z,0001e473,QHPkAQCAnwkF3nsRWeqdc8fmXPpq,0000024b0b031c97,1,867100000,9,125,4/5,-113,-14.5,-1,010,2463,5
2020-05-04T00:00:12.260630Z,270002a1,QKECACcAd1wFDHTAj/8SNDXMUnDKQtRmQhM5DnfOfw==,0000024b0b031c97,1,867700000,8,125,4/5,-104,-7.2,-1,010,23671,5
2020-05-04T00:00:15.303493Z,26012682,QIImASYA2gEB77Gp+lm5p31RTQ==,0000024b0b031c97,1,867500000,7,125,4/5,-78,7.5,-1,010,474,1
2020-05-04T00:00:16.153654Z,26012dc5,QMUtASYAmh4BN3SLOwGS635SE60UXI5F2IahKdH86r33C85uYwCtnXaXgGN9nZfV/Nk6wpp9vjkFMhNlcCg=,0000024b0b031c97,1,867700000,12,125,4/5,-104,-6.5,-1,010,7834,1
2020-05-04T00:00:21.432850Z,20000034,QDQAACCAz58KdiUlYjhyeYlYMfACiIZs8CM=,0000024b0b031c97,1,868300000,7,125,4/5,-96,-1.5,-1,010,40911,10
2020-05-04T00:00:24.047028Z,270002d6,QNYCACcAd1wFdlDjKzusWl6S3ea1QKgE1xj1WokN7g==,0000024b0b031c97,1,867100000,8,125,4/5,-112,-2.5,-1,010,23671,5
2020-05-04T00:00:25.776699Z,48dd00ae,QK4A3UiAdX8F/ZxCLwnPYX4JydS5psOsbFT/gv0=,0000024b0b031c97,1,868100000,12,125,4/5,-96,-11.8,-1,010,32629,5
2020-05-04T00:00:29.498930Z,27007db5,QLV9ACcABQACQxRh32ziFD+7vO9t8ZL2PFkrR2HO,0000024b0b031c97,1,867700000,8,125,4/5,-109,-3.8,-1,010,5,2
