time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-07-06T00:00:08.602314Z,26012e98,QJguASaA4yUFDSGcc7RUHan1tkL9g/ORBQSQoYU=,0000024b0b031c97,1,868100000,12,125,4/5,-97,-2.8,-1,010,9699,5
2020-07-06T00:00:12.390600Z,26012682,QIImASYABMIB5S0MVumvozkTSw==,0000024b0b031c97,1,868300000,7,125,4/5,-77,8.2,-1,010,49668,1
2020-07-06T00:00:16.522678Z,26012c77,QHcsASaA990Fa2Kc8RQYotEv03Eou1gfl06qwyA=,0000024b0b031c97,1,867300000,12,125,4/5,-109,-2,-1,010,56823,5
2020-07-06T00:00:20.978982Z,27007d4b,gEt9ACcAIEACu6xMAe+LqqdgusfablJapdpMkbZuvN7otR0gQjhVYtCFNRyZeMMdmSgjBWsXlv5CX/hXWMto7flbAcDFkZRext/tSWYHB9Qw8X6FlpEH5Uorplv308nDAeUOPlxLeVBtx1t0tiugiYPRDCRnQDC7nlM1NN+beJlSMFuqVoXlFJZ9jkCiVFMF1yIR/DiR24SFMdwHudaeQ+fi7nlD7K+Efyou424+WBHL4uZodistMoDpKyAXEs3EfE5RzzEwt+FWYOY1v2pwBiSgAftYYDKCyD8u/VZ30p5f22t8MQDvZpFHYJk1yVPxC0ejuZ/lu5jovOQCknTB,0000024b0b031c97,1,867700000,8,125,4/5,-101,-5.2,-1,100,16416,2
2020-07-06T00:00:22.338526Z,485fd742,QELXX0iA2cEFESbaLLktLH6bcun03wgkwPxjBgA=,0000024b0b031c97,1,868500000,12,125,4/5,-107,-10,-1,010,49625,5
2020-07-06T00:00:25.099699Z,03602c3b,QDssYAOAAwEBosFWe8sCUUsVnKKpfV/7RNhKiB4nzEYF,0000024b0b031c97,1,868100000,7,125,4/5,-97,7.5,-1,010,259,1
2020-07-06T00:00:34.535289Z,26012682,QIImASYABcIBEyrO6A2xZcevJg==,0000024b0b031c97,1,867100000,7,125,4/5,-79,9.2,-1,010,49669,1
2020-07-06T00:00:36.396841Z,26011b56,QFYbASaARgABp4rytj+ZZuA=,0000024b0b031c97,1,867700000,7,125,4/5,-103,-6.2,-1,010,70,1
2020-07-06T00:00:56.680106Z,26012682,QIImASYABsIBjcnFL52yd1sLvQ==,0000024b0b031c97,1,867300000,7,125,4/5,-81,11.2,-1,010,49670,1
2020-07-06T00:01:00.737337Z,2600236f,QG8jACaAIIUFexSo6aREAtP6ExC4,0000024b0b031c97,1,868100000,7,125,4/5,-96,0.5,-1,010,34080,5
2020-07-06T00:01:01.371856Z,26012a47,QEcqASaAA+IFlgQ2RI+pcr7mBDMCGNhfsR4VEw0=,0000024b0b031c97,1,868300000,12,125,4/5,-86,1,-1,010,57859,5
2020-07-06T00:01:06.301375Z,26012c29,QCksASaAhwEC8mJp/a/t6YEJAXzAR5M2hti3SSp320kX8w==,0000024b0b031c97,1,868500000,7,125,4/5,-111,-5.5,-1,010,391,2
2020-07-06T00:01:11.610182Z,26012c1d,QB0sASaA5CUFihLdKba0syE5op8u1DDDUDZ5YY4=,0000024b0b031c97,1,868500000,12,125,4/5,-107,-10,-1,010,9700,5
2020-07-06T00:01:12.238981Z,2000000b,QAsAACCA6uQKRRXw89vREJQdNMsnrZQhlnE=,0000024b0b031c97,1,868500000,7,125,4/5,-103,1.5,-1,010,58602,10
2020-07-06T00:01:12.282910Z,27007d79,QHl9ACcAAwACpRy3sh+djf+OXwAHRWIBLpJEIrne,0000024b0b031c97,1,867100000,8,125,4/5,-108,-4,-1,010,3,2
2020-07-06T00:01:14.456268Z,26012a85,QIUqASaAh90FJDKB7s1e8VuUCa9jv7faVG02bvg=,0000024b0b031c97,1,867100000,12,125,4/5,-97,8,-1,010,56711,5
2020-07-06T00:01:17.944130Z,048058c6,QMZYgASAjh0BgFPiHC+LKsPgESy0m4L0zZXY3B+5zCIva53XdcsJyQ==,0000024b0b031c97,1,868100000,7,125,4/5,-100,2.5,-1,010,7566,1
2020-07-06T00:01:18.824955Z,26012682,QIImASYAB8IBdpOwWE/wXDE3pQ==,0000024b0b031c97,1,868100000,7,125,4/5,-79,7.5,-1,010,49671,1
2020-07-06T00:01:22.172874Z,048058c6,QMZYgASAjh0BgFPiHC+LKsPgESy0m4L0zZXY3B+5zCIva53XdcsJyQ==,0000024b0b031c97,1,868100000,7,125,4/5,-95,-2.2,-1,010,7566,1
2020-07-06T00:01:22.716219Z,27000243,QEMCACeA1CMPD2vFuXuV+OcL6930O/B7G0PYOPWrgxYPciRVvA==,0000024b0b031c97,1,867100000,8,125,4/5,-108,-6.8,-1,010,9172,15
2020-07-06T00:01:23.460Z,20000008,QAgAACCAu+UKFzXl4VNAlPnSmgW2Qivq35Y=,0000024b0b031c97,1,868500000,7,125,4/5,-110,-7,-1,010,58811,10
2020-07-06T00:01:25.091129Z,2601282c,QCwoASaADA0FHkCAWedCSwBkT5UDzpBmllaY5Mqr,0000024b0b031c97,1,868500000,7,125,4/5,-90,7,-1,010,3340,5
2020-07-06T00:01:31.136198Z,260122da,QNoiASYAoyoBiP5Q8sca12J3MlOL/7Rs6DOseT/X08rgX0llWrsjO2qjKcVG9OGnLZC0QgsMIstNhSbNskI=,0000024b0b031c97,1,867900000,12,125,4/5,-106,-15,-1,010,10915,1
2020-07-06T00:01:34.198478Z,2000002c,QCwAACCAseYKABsSbtHAbY9vj/CQbP4GV7g=,0000024b0b031c97,1,868100000,7,125,4/5,-101,-7.8,-1,010,59057,10
2020-07-06T00:01:37.939438Z,27007ddc,QNx9ACcAAgACoVOqSzlx6pyXNOXQHthDoxJjWrv+,0000024b0b031c97,1,868100000,8,125,4/5,-107,-9.2,-1,010,2,2
2020-07-06T00:01:40.535116Z,26012367,QGcjASYAFnsCy25wfYXt4aJ9dg==,0000024b0b031c97,1,867100000,7,125,4/5,-73,10,-1,010,31510,2
2020-07-06T00:01:40.969869Z,26012682,QIImASYACMIB9hLwL0r5VciSVg==,0000024b0b031c97,1,867500000,7,125,4/5,-78,6.8,-1,010,49672,1
2020-07-06T00:02:03.114638Z,26012682,QIImASYACcIB8nCPmkO/hUpDVA==,0000024b0b031c97,1,867900000,7,125,4/5,-79,10,-1,010,49673,1
2020-07-06T00:02:06.301901Z,26012c29,QCksASaAiAECJWg5TiyheUepMDnK5E6TZzFHKUVdzNB0PQ==,0000024b0b031c97,1,867700000,7,125,4/5,-103,-4.5,-1,010,392,2
2020-07-06T00:02:18.011391Z,27007d34,QDR9ACcACAAC/b2PqPAcZliKAznsa+RfVePnTIzm,0000024b0b031c97,1,867100000,8,125,4/5,-106,-8.2,-1,010,8,2
2020-07-06T00:02:25.259430Z,26012682,QIImASYACsIBdNHKzYFtaVDXAw==,0000024b0b031c97,1,868300000,7,125,4/5,-76,7,-1,010,49674,1
2020-07-06T00:02:30.753859Z,20000000,QAAAACCAvwAKMi+Sb80zJhl4OPsxF3UMvOg=,0000024b0b031c97,1,868100000,7,125,4/5,-106,-3.5,-1,010,191,10
2020-07-06T00:02:34.030234Z,270002e8,QOgCACeA1yMP1U43XBgzjz1PyqNCMLqkVf5fBf4FcM1Egktjug==,0000024b0b031c97,1,867100000,8,125,4/5,-102,-11.2,-1,010,9175,15
2020-07-06T00:02:34.431172Z,27007db5,QLV9ACcAAgAClChEoDpOXeq1jW0S81VoZecaRMH7,0000024b0b031c97,1,867500000,8,125,4/5,-102,-6.5,-1,010,2,2
2020-07-06T00:02:46.270511Z,260126e2,QOImASaACdoFpvYsCFrlkCNFrlUSvj3g+bEbPqI=,0000024b0b031c97,1,868500000,12,125,4/5,-107,-9.5,-1,010,55817,5
2020-07-06T00:02:47.360336Z,2700825a,QFqCACeAlQEBEU5jbUxtabyFXnI5YCM0Y6GgA8NLLxwTVR2i,0000024b0b031c97,1,868100000,11,125,4/5,-83,6.2,-1,010,405,1
2020-07-06T00:02:47.404119Z,26012682,QIImASYAC8IBeRaDKFLA9bum7Q==,0000024b0b031c97,1,868300000,7,125,4/5,-75,8.2,-1,010,49675,1
2020-07-06T00:02:52.442269Z,26012bfd,QP0rASaAIYUFSq3ttPXBACJ+/XdA,0000024b0b031c97,1,867700000,7,125,4/5,-99,-3,-1,010,34081,5
2020-07-06T00:02:57.999557Z,26012786,QIYnASaA5CUFX/puFOn37Y2qK01n1XTPBxWYiEM=,0000024b0b031c97,1,868500000,12,125,4/5,-95,-2,-1,010,9700,5
2020-07-06T00:00:14.133817Z,-1,,7276ff002e062804,-1,868100000,9,125,4/5,-101,-9.5,-1,-1,-1,-1
2020-07-06T00:00:21.855124Z,-1,AAEAAAAAnrcY3QsM8P+etxjCPprP4PE=,7276ff002e062804,1,868100000,12,125,4/5,-94,-22,-1,000,-1,-1
2020-07-06T00:00:47.043701Z,-1,,7276ff002e062804,-1,868500000,12,125,4/5,-102,-18.8,-1,-1,-1,-1
2020-07-06T00:00:47.505573Z,-1,,7276ff002e062804,-1,868300000,7,125,4/5,-98,-11.5,-1,-1,-1,-1
2020-07-06T00:00:48.637333Z,-1,,7276ff002e062804,-1,868100000,7,125,4/5,-110,-10.2,-1,-1,-1,-1
2020-07-06T00:00:59.947465Z,-1,,7276ff002e062804,-1,868100000,9,125,4/5,-100,-10.2,-1,-1,-1,-1
2020-07-06T00:01:35.339654Z,-1,,7276ff002e062804,-1,868500000,12,125,4/5,-101,-16.8,-1,-1,-1,-1
2020-07-06T00:01:37.724815Z,-1,,7276ff002e062804,-1,868100000,9,125,4/5,-101,-11.8,-1,-1,-1,-1
2020-07-06T00:01:40.351920Z,-1,,7276ff002e062804,-1,868100000,7,125,4/5,-100,-2,-1,-1,-1,-1
2020-07-06T00:01:49.038635Z,-1,,7276ff002e062804,-1,868100000,7,125,4/5,-107,-11.2,-1,-1,-1,-1
2020-07-06T00:02:06.236480Z,-1,,7276ff002e062804,-1,867100000,7,125,4/6,-115,-11.8,-1,-1,-1,-1
2020-07-06T00:02:10.566499Z,-1,,7276ff002e062804,-1,868100000,7,125,4/5,-108,-11.5,-1,-1,-1,-1
2020-07-06T00:02:11.287563Z,260124e2,QOIkASYApToFrc8Dsszp/8/kp/WGl5eZByNToBYWoBkcN7NOjQ==,7276ff002e062804,1,868300000,12,125,4/5,-89,-21,-1,010,15013,5
2020-07-06T00:02:29.497266Z,-1,,7276ff002e062804,-1,868500000,9,125,4/5,-100,-14.8,-1,-1,-1,-1
2020-07-06T00:02:46.360360Z,2700825a,QFqCACeAlQEBEU5jbUxtabyFXnI5YCM0Y6GgA8NLLxwTVR2i,7276ff002e062804,1,868100000,11,125,4/5,-98,-7.8,-1,010,405,1
2020-07-06T00:02:50.186433Z,-1,AAEAAAAAnrcY3QsM8P+etxh9KOxNtcE=,7276ff002e062804,1,868500000,12,125,4/5,-97,-19,-1,000,-1,-1
2020-07-06T00:03:09.548880Z,26012682,QIImASYADMIBLNnRIc/B1RlJww==,0000024b0b031c97,1,867100000,7,125,4/5,-76,8.5,-1,010,49676,1
