time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-08-17T00:00:02.322605Z,20000018,QBgAACCAKhQKw3bqr4tgJhS0phlp1wFA47I=,0000024b0b031c97,1,868500000,7,125,4/5,-109,-5,-1,010,5162,10
2020-08-17T00:00:12.994930Z,000bffdb,QNv/CwCA5A6ItiUXUq9Cm52Z8SSXF862,0000024b0b031c97,1,868300000,12,125,4/5,-107,-5.8,-1,010,3812,136
2020-08-17T00:00:14.210123Z,00000000,QAAAAACAiKIF9JLat4rdG081rE/D5IebfAJikqM=,0000024b0b031c97,1,868100000,12,125,4/5,-102,-17.8,-1,010,41608,5
2020-08-17T00:00:14.430947Z,26012c07,QAcsASYAFwAFku/hMTPeAtvJaenrEPvlibNKFWjQvcc+UQHvH+k=,0000024b0b031c97,1,868500000,12,125,4/5,-107,-5.8,-1,010,23,5
2020-08-17T00:00:17.700210Z,2601236d,QG0jASaAT/YFmTRnCvf8i1CjNC8AsCBdUO+e8h8=,0000024b0b031c97,1,868300000,12,125,4/5,-91,3.8,-1,010,63055,5
2020-08-17T00:00:18.540778Z,00956527,QCdllQCAhwAFUWeZrmIrmxoPBGvfWLHEut4=,0000024b0b031c97,1,867900000,9,125,4/5,-106,-10,-1,010,135,5
2020-08-17T00:00:18.963162Z,260121e9,QOkhASaAHAECRPSmf92rFonn3TdnyA3KFeNqtY+eehEF5w==,0000024b0b031c97,1,867700000,7,125,4/5,-105,-6,-1,010,284,2
2020-08-17T00:00:20.577064Z,2601282d,QC0oASaAhD0Ft2TOL4UmByVbyV/gl5fk6Z7GhZA=,0000024b0b031c97,1,868300000,12,125,4/5,-89,-3.5,-1,010,15748,5
2020-08-17T00:00:24.333231Z,26012c05,QAUsASYArgEF2lnYHZ86CzUNO6H77XSWsseidzmz5oygKumhHRI=,0000024b0b031c97,1,867300000,12,125,4/5,-108,-5.5,-1,010,430,5
2020-08-17T00:00:27.232048Z,26012bfd,QP0rASaAG7UFrfv2Cbc0iiTcO4a7,0000024b0b031c97,1,867500000,7,125,4/5,-93,2.2,-1,010,46363,5
