time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-06-29T00:00:03.888121Z,00e03eb3,QLM+4ACA6T8FC7pbhWfllfcUApf5xcOQHR2Kcz8=,0000024b0b031c97,1,867900000,9,125,4/5,-109,-12,-1,010,16361,5
2020-06-29T00:00:06.555776Z,27007d4b,gEt9ACcAXgMCzKJB+WdLr4xU1/A2ZI6LYePrkpxK7FkE6UUh7WRfNU2mxhgfvMkGVZUxFxnd9TLJ1j7o/4eMMi0o3sENuN5SGSqfK9WHkHZ8zm6p6d/niQcCTFEqIhmPcYwTwH8OTNNH0eRpo1pUXfWVYguhbEtsbXgAA3Jft5KckWjAmOF+aUrfu+grgkmQKcemsimd1qCc5fx8BnRWLpl1XEyjjdoFAYaosugQSEoJeB2oIMLs/9FZhB2gMRpO/CinfdHe9/QLCnKG9DQbE6rmnwWxksRQkKSIRvxNRmlOdOMQ9a473vwaXm6SKU6CFm707e80I/pigJMIInfa,0000024b0b031c97,1,867900000,8,125,4/5,-105,0.2,-1,100,862,2
2020-06-29T00:00:08.261975Z,26012845,QEUoASYABQACeAkRpF6McE/LEkXVLtKKf8q/zQy5,0000024b0b031c97,1,868500000,8,125,4/5,-89,1,-1,010,5,2
2020-06-29T00:00:11.695366Z,14000002,QAIAABSAM/oK5sa+171Z73Jp3fX7ddHX4iw=,0000024b0b031c97,1,868500000,12,125,4/5,-96,-11.5,-1,010,64051,10
2020-06-29T00:00:17.874204Z,26012dc5,QMUtASYAUikBS8uK11M0n6jvG/up4R4aZHPZACkRJ98fShggKOivaYZ+NUDjnKLbF+V0jIvtD+yLxUt9TgQ=,0000024b0b031c97,1,867700000,12,125,4/5,-104,-9.5,-1,010,10578,1
2020-06-29T00:00:18.775156Z,26012682,QIImASYAVVcBW6c216TbQPn1tQ==,0000024b0b031c97,1,867500000,7,125,4/5,-79,7,-1,010,22357,1
2020-06-29T00:00:31.309248Z,2601297c,QHwpASaAdtkFCfGhCFdVhqYsSz0l8peLRKl8wq0=,0000024b0b031c97,1,868100000,12,125,4/5,-79,8.2,-1,010,55670,5
2020-06-29T00:00:40.397141Z,26011b56,QFYbASaAQAABYPn7P6zSQN3vvnC1JWI+qA==,0000024b0b031c97,1,867900000,7,125,4/5,-108,-3.8,-1,010,64,1
2020-06-29T00:00:40.919828Z,26012682,QIImASYAVlcBTd2jJNtaUOna/A==,0000024b0b031c97,1,867100000,7,125,4/5,-81,9.2,-1,010,22358,1
2020-06-29T00:00:42.671547Z,26012803,QAMoASaA8Yl99UVTM3QPqu7//pAa,0000024b0b031c97,1,867700000,12,125,4/5,-107,-14,-1,010,35313,125
