time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-05-07T00:00:06.093665Z,270002d6,QNYCACcAJ14FWXuc71zREt393mHi4/FIucLl5E8LLA==,0000024b0b031c97,1,867100000,8,125,4/5,-109,-7.5,-1,010,24103,5
2020-05-07T00:00:06.309407Z,005c79fe,QP55XACAassFmnezIyW4zGD59ZsL31XwKdc=,0000024b0b031c97,1,867700000,10,125,4/5,-110,-11,-1,010,52074,5
2020-05-07T00:00:10.078573Z,270002f0,gPACACcAmSwFevGju0mWq/xJa+N6R/x54STgUw==,0000024b0b031c97,1,867100000,8,125,4/5,-102,6,-1,100,11417,5
2020-05-07T00:00:10.710222Z,2000000c,QAwAACCAaqEKGB5AUtFYhkw327mGDdQcU8E=,0000024b0b031c97,1,868500000,7,125,4/5,-107,-1.5,-1,010,41322,10
2020-05-07T00:00:14.628588Z,a869205d,gF0gaaiAZx0FbgxWDKTtNRXWHCTo,0000024b0b031c97,1,867700000,12,125,4/5,-100,-13.2,-1,100,7527,5
2020-05-07T00:00:16.930124Z,26012682,QIImASYAky8BxurGQB0a8HNwyw==,0000024b0b031c97,1,868300000,7,125,4/5,-76,7.8,-1,010,12179,1
2020-05-07T00:00:17.016885Z,26012803,QAMoASaA0F99r3Pms4/JkNpZBTf3,0000024b0b031c97,1,867100000,12,125,4/5,-107,-7.2,-1,010,24528,125
2020-05-07T00:00:33.463479Z,0159d7a1,QKHXWQGAXAAFQZl5wAAtUB/KqbdkLkO2FuBuQHE=,0000024b0b031c97,1,867700000,9,125,4/5,-107,-11.5,-1,010,92,5
2020-05-07T00:00:37.703116Z,26012572,QHIlASaAPQEFq4kz8BP7O3K8c5GlMyOaB/3hppc=,0000024b0b031c97,1,868300000,12,125,4/5,-91,9,-1,010,317,5
2020-05-07T00:00:39.074764Z,26012682,QIImASYAlC8BY1kuiWqWThnNSQ==,0000024b0b031c97,1,868100000,7,125,4/5,-79,10,-1,010,12180,1
2020-05-07T00:00:39.502484Z,00996b8b,QItrmQCAM7cFdBxBfT6qLtx2MPvHxXlw7+3gZl9lV8hD9yA=,0000024b0b031c97,1,867100000,9,125,4/5,-113,-7.8,-1,010,46899,5
2020-05-07T00:00:41.005913Z,2000000b,QAsAACCAaaEK0FIgBTFgw94NDpedsua7jbc=,0000024b0b031c97,1,868300000,7,125,4/5,-103,0,-1,010,41321,10
2020-05-07T00:00:41.828476Z,26012ad6,QNYqASYABAACeapwMNgvjJeCKCJ/UFkt2F9oGcON,0000024b0b031c97,1,867500000,8,125,4/5,-99,-10,-1,010,4,2
2020-05-07T00:00:45.017018Z,00870b40,QEALhwCAa8sF2uI56Z3ceFG+OcnhMb7YWkI=,0000024b0b031c97,1,867900000,10,125,4/5,-108,-13.2,-1,010,52075,5
2020-05-07T00:00:50.599080Z,260027aa,QKonACaAkkAFI/JnDvul1jRrJOBu,0000024b0b031c97,1,867100000,7,125,4/5,-94,7,-1,010,16530,5
2020-05-07T00:00:52.802671Z,26002d88,QIgtACaAlEAFFK7WCZ3zmuxlIJp2,0000024b0b031c97,1,867300000,7,125,4/5,-85,9,-1,010,16532,5
2020-05-07T00:00:54.696390Z,0350567d,QH1WUAOC/BEDvgGugNQkb/FIBVLI7ZEMk2RtdB++6/TR6nZ1C6apsff2TQ==,0000024b0b031c97,1,868500000,10,125,4/5,-103,-14.5,-1,010,4604,1
2020-05-07T00:00:55.191294Z,26002b82,QIIrACaAk0AFTi+st0s2zh+WQqr3,0000024b0b031c97,1,868500000,7,125,4/5,-105,-4,-1,010,16531,5
2020-05-07T00:00:55.278519Z,26012b50,QFArASaABgwFxaYx5QtNAWsCXKrOThcEr03EWMd/,0000024b0b031c97,1,868100000,12,125,4/5,-102,1,-1,010,3078,5
2020-05-07T00:00:57.992492Z,26012255,QFUiASaAwgMCq1zjUcRsiNwImiuuUwBrxy5OCApqkFsum5urd5Dn,0000024b0b031c97,1,868500000,7,125,4/5,-95,1,-1,010,962,2
2020-05-07T00:01:01.219285Z,26012682,QIImASYAlS8BXdPZMaLazmiRTA==,0000024b0b031c97,1,867500000,7,125,4/5,-77,5.8,-1,010,12181,1
2020-05-07T00:01:06.848394Z,2601282d,QC0oASaAIwQF/9w6aqEaWwFz6cMu2ivlbu09Tuk=,0000024b0b031c97,1,868500000,12,125,4/5,-100,-4,-1,010,1059,5
2020-05-07T00:01:08.357379Z,2700827f,gH+CACeAbgAotWbSikpM65cOd5KL5Ewe2Fp/zmjb0wcjvLv+D5kKiw==,0000024b0b031c97,1,867300000,9,125,4/5,-109,-7.2,-1,100,110,40
2020-05-07T00:01:09.038826Z,04805869,QGlYgASA9gABja8edmN/MvUDIcV+vBlKis5MGgSO1PPwTsSR1Tfnxw==,0000024b0b031c97,1,868300000,7,125,4/5,-89,-3.8,-1,010,246,1
